Writing	Readings	Meanings
視察	しさつ	[n.; suru; no-n.] inspection; observation
実際	じっさい	[no-n.; adv.; n.] practicality; practical // [n.] reality; actuality; actual conditions // [n.] bhutakoti (limit of reality)
教壇	きょうだん	[n.] (teacher's) platform; podium; dais
悲劇的	ひげきてき	[adjn..] tragic
轢く	ひく	[v5ku.; vt.; us. kana] to run somebody over (with vehicle); to knock someone down
損失	そんしつ	[n.] loss (e.g. assets or profits)
夫妻	ふさい	[n.] man and wife; married couple
撃墜	げきつい	[n.; suru] shooting down (aircraft)
理由	りゆう,わけ	[n.] reason; pretext; motive
手短	てみじか	[adjn..] short; brief
表現	ひょうげん	[n.; suru] expression; presentation // [n.] representation; notation
見落とす	みおとす	[v5su.; vt.] to overlook; to fail to notice; to miss (seeing)
助かる	たすかる	[v5ru.; vi.] to be saved; to be rescued; to survive // [n.] to escape harm; to be spared damage // [n.] to be helped; to be saved trouble
英語版	えいごばん	[n.] English version
能力	のうりき	[n.] ability; faculty // [n.] low-ranking priest who does manual labour at a temple; male temple employee
判断	はんだん	[n.; suru] judgment; judgement; decision; conclusion; adjudication // [n.] divination // [n.] judgement
力	りょく	[n.] force; strength; might; vigour (vigor); energy // [n.] capability; ability; proficiency; capacity; faculty // [n.] efficacy; effect // [n.] effort; endeavours (endeavors); exertions // [n.] power; authority; influence; good offices; agency // [n.] support; help; aid; assistance // [n.] stress; emphasis // [n.] means; resources // [n.] strength; power; proficiency; ability // [sufn.] the strength of ... people; the strength of ... men // [suffix] strength; power; proficiency; ability
奨学金	しょうがくきん	[n.] scholarship; stipend; bursary // [n.] student loan
お皿	おさら	[n.] plate; dish
工場長	こうじょうちょう	[n.] factory manager; works manager
大切にする	たいせつにする	[phrase; vsuruirr.] to cherish; to treasure; to prize; to set a high value on // [n.] to take good care of; to look after
温かい	あたたかい,あったかい	[adj.] warm; mild; genial
住所	じゅうしょ	[n.] address (e.g. of house); residence; domicile
餌	えさ,え,エサ	[n.] (animal) feed; fodder; pet food // [n.] bait; lure; enticement
御神籤	おみくじ	[n.; us. kana] fortune slip (usu. bought at a shrine)
禿げ頭	はげあたま,とくとう	[n.; no-n.] bald head // [n.] baldness
禿げる	はげる,ハゲる	[v1.; vi.; us. kana] to lose hair; to become bald // [n.] to become bare (e.g. a mountain becomes bare of trees)
警備員	けいびいん	[n.] guard; security (officer); guardsman
発音	はつおん	[n.; suru; no-n.] pronunciation
代わり	がわり	[n.; no-n.] substitute; replacement; substituting; replacing // [n.] stand-in; proxy; alternate; deputy; relief; successor // [n.] compensation; exchange; return // [n.] second helping; another cup; seconds // [abbr.] upcoming program; upcoming programme // [suffix] substitute for ...
人力車	じんりきしゃ	[n.] rickshaw; jinrikisha
直す	なおす	[v5su.; vt.] to cure; to heal // [n.] to fix; to correct; to repair // [auxv.] to do over again (after -masu base of verb) // [n.] to replace; to put back as it was // [n.] to convert (into a different state); to transform
途中	とちゅう	[advn.; tempn.] on the way; en route // [n.] in the middle of; midway
泣く	なく	[v5ku.] to cry; to weep; to sob; to howl
何時までも	いつまでも	[adv.; us. kana] forever; for good; eternally; as long as one likes; indefinitely; no matter what
怒る	おこる,いかる	[v5ru.; vi.] to get angry; to get mad // [v5ru.; vt.] to tell someone off; to scold // [v5ru.; vi.] to be angular; to be square
動く	うごく	[v5ku.; vi.] to move; to stir; to shift; to shake; to swing // [n.] to operate; to run; to go; to work // [n.] to be touched; to be influenced // [n.] to change; to vary; to fluctuate; to waver // [n.] certain; factual // [n.] to be transferred
名詞	めいし,なことば	[n.] noun
辞書形	じしょけい	[n.] dictionary form
否定形	ひていけい	[n.] negative form
幼稚園	ようちえん	[n.] kindergarten
中学校	ちゅうがっこう	[n.] junior high school; middle school; lower secondary school
順番	じゅんばん	[n.] turn (in line); order of things; sequential order
続き	つづき	[n.; sufn.] sequel; continuation; (also suffix) continuation (in time and space); second series; succession; spell
投稿	とうこう	[n.; suru] contribution; submission; posting (e.g. to a newsgroup or mailing list)
言語	げんご,ごんご,げんきょ	[n.] language
検出	けんしゅつ	[n.; suru] detection; sense (e.g. sensor)
呼び出す	よびだす	[v5su.; vt.] to summon; to call (e.g. phone); to convene; to decoy; to lure // [n.] to invoke (e.g. subroutine); to call; to open (e.g. a file)
受付	うけつけ	[n.] reception (desk); information desk // [n.; suru] receipt; acceptance
飛び出す	とびだす	[v5su.; vi.] to jump out; to rush out; to fly out // [n.] to appear (suddenly) // [n.] to protrude; to project // [n.] to butt in
通り	どおり	[advn.; n.] avenue; street; way; road // [n.] coming and going; street traffic // [n.] flow (of water, air, etc.) // [n.] transmission (of sound); reach (e.g. of voice) // [n.] fame; reputation; popularity // [n.] the same status or way; as (e.g. as expected, as I said) // [n.] understanding; comprehension // [cnt.] counter for sets of things; counter for methods, ways, types // [sufn.] in accordance with ...; following ... // [n.] roughly; about // [n.] .. Street; .. Avenue
出社	しゅっしゃ	[n.; suru] going to work (e.g. in the morning); coming to work
返る	かえる	[v5ru.; vi.] to return; to come back; to go back // [n.] to turn over // [suffix; v5ru.] (after the -masu stem of a verb) (to become) extremely; (to become) completely
変える	かえる	[v1.; vt.] to change; to alter; to transform; to convert; to turn; to vary // [n.] to reform; to revise; to amend
代える	かえる	[v1.; vt.] to replace // [n.] to exchange; to interchange // [n.] to substitute
転ぶ	ころぶ,まろぶ	[v5bu.; vi.] to fall down; to fall over
良さげ	よさげ	[adjn..; coll.; us. kana] seemingly good; (of) good appearance; looking good
嘘	うそ	[n.] lie; falsehood; incorrect fact // [coll.] Really!; Unbelievable!; No way!
吐く	はく	[v5ku.; vt.; us. kana] to breathe out; to breathe // [us. kana] to tell (a lie); to use (foul language) // [us. kana] to vomit; to throw up; to spit up // [v5ku.; vt.] to vomit; to throw up; to spit up // [n.] to emit; to send forth; to breathe out // [n.] to give (an opinion); to make (a comment); to express; to tell // [n.] to confess
嘘を吐く	うそをつく	[phrase; v5ku.] to tell a lie; to fib
奢る	おごる	[v5ru.; vt.; us. kana] to give (someone) a treat // [v5ru.; vi.; us. kana] to be extravagant; to live luxuriously // [us. kana] to be proud; to be haughty
指輪	ゆびわ	[n.] (finger) ring
夫	そ	[n.] wife // [arch.] my dear; dear; honey // [us. kana] garnish (esp. one served with sashimi) // [us. kana] embellishment // [n.] husband // [prefn.; sufn.; n.] male; man // [n.; arch.] husband // [n.; arch.] that // [arch.] he; she; that person
引っ越し	ひっこし	[n.; suru] moving (dwelling, office, etc.); changing residence
やっと		[adv.; ono.] at last; at length // [ono.] barely; narrowly; just; by the skin of one's teeth
濡れる	ぬれる	[v1.; vi.] to get wet
濡らす	ぬらす	[v5su.; vt.] to wet; to soak; to dip
助ける	たすける	[v1.; vt.] to help; to save; to rescue; to give relief to; to spare (life); to reinforce; to promote; to abet
文書	ぶんしょ,もんじょ	[n.] document; writing; letter; paperwork; note; records; archives // [n.] document addressed to someone in particular (jargon used in paleography)
全て	すべて	[n.; no-n.; us. kana] everything; all; the whole // [adv.; us. kana] entirely; completely; wholly; all
提供	ていきょう	[n.; suru] offer; tender; program sponsoring; programme sponsoring; furnishing; provisioning; supply
感じ	かんじ	[n.] feeling; sense; impression
感じる	かんじる	[v1.] to feel; to sense; to experience
ぶらぶら	ぶらぶら,ブラブラ	[adjn..; adv.; to-adv.; suru; ono.] dangling heavily; swaying to and fro; swinging // [adv.; to-adv.; suru; ono.] strolling; rambling; roaming; wandering // [ono.] idly; lazily; leisurely; aimlessly // [ono.] persisting (of an illness)
街	まち,ちょう	[sufn.; pref.] .. street; .. quarter; .. district // [n.] town; block; neighbourhood; neighborhood // [n.] street; road // [n.] 109.09 m // [n.] 0.99 hectares // [n.] downtown; main street
高速	こうそく	[adjn..; n.; no-n.] high speed; high gear // [abbr.] highway; freeway; expressway; motorway
道路	どうろ	[n.] road; highway
高速道路	こうそくどうろ	[n.] highway; freeway; expressway; motorway
登録	とうろく	[n.; suru] registration; accession; register; entry; record
喜び	よろこび	[n.] joy; delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations
お疲れ様	おつかれさま	[phrase] thank you; many thanks; much appreciated // [n.] that's enough for today
世直し	よなおし	[n.; suru] world reformation
失敗	しっぱい	[n.; no-n.; suru] failure; mistake; blunder
切り替える	きりかえる	[v1.; vt.] to change; to exchange; to convert; to renew; to throw a switch; to replace; to switch over
丁寧語	ていねいご	[n.] polite language (e.g. masu, desu)
尊敬語	そんけいご	[n.] honorific language
謙譲語	けんじょうご	[n.] humble language (e.g. itadaku)
鉄拳	てっけん	[n.] fist
加える	くわえる	[v1.; vt.] to add; to add up; to sum up; to append; to annex // [n.] to increase; to gather (e.g. speed); to pick up // [n.] to include; to count in; to let join // [n.] to inflict (damage); to deal; to give
付け加える	つけくわえる	[v1.; vt.] to add one thing to another
言い出す	いいだす	[v5su.; vt.] to start talking; to speak; to tell; to propose; to suggest; to break the ice
初心者	しょしんしゃ	[n.] beginner
誤る	あやまる	[v5ru.; vi.] to make a mistake; to err // [n.] to mislead; to misguide
在庫	ざいこ	[n.] inventory; stock; stockpile
処分	しょぶん	[n.; suru] disposal; dealing (with a problem); disposition; measure; procedure // [n.] punishment // [n.] putting down (e.g. diseased animal)
兼ねる	かねる	[suffix; v1.; us. kana] to be unable to; to find difficult (unpleasant, awkward, painful) to do // [v1.; vt.] to serve two or more functions or roles simultaneously; to contain (or combine) two or more features // [n.] to work in two or more jobs simultaneously (positions, etc.); to do alongside // [n.] to hesitate to do something (out of consideration for others) // [n.] to think of the future (as well as the present)
可能	かのう	[adjn..; n.] potential; possible; practicable; feasible
季節外れ	きせつはずれ	[n.; adjn..; no-n.] unseasonable; out of season
詐欺	さぎ	[n.; no-n.] fraud; swindle; graft; cheating; trick; scam
目的	もくてき	[n.] purpose; goal; aim; objective; intention
販売	はんばい,ハンバイ	[n.; suru] sales; selling; marketing
除く	のぞく	[v5ku.; vt.] to remove; to eliminate; to eradicate // [n.] to exclude; to except
基本	きほん	[n.; no-n.] foundation; basis; standard
的	まと	[adjn..; suffix] -like; typical // [n.] mark; target
基本的	きほんてき	[adjn..] fundamental; standard; basic
中身	なかみ	[n.; no-n.] contents; interior; substance; filling; (sword) blade
定価	ていか	[n.] list price; regular price; established price
価値	かち	[n.] value; worth; merit
確認	かくにん	[n.; suru] confirmation; verification; validation; review; check; affirmation; identification
詳しい	くわしい	[adj.] detailed; full; accurate // [n.] knowing very well; well-acquainted; well-informed
合計	ごうけい	[n.; suru] sum total; total amount
金額	きんがく	[n.] amount of money
消費	しょうひ	[n.; suru; no-n.] consumption; expenditure
消費者	しょうひしゃ	[n.] consumer
蛇足	だそく	[n.; no-n.] redundancy; superfluity; useless addition
習慣	しゅうかん	[n.; no-n.] habit // [n.] custom; cultural practice
確か	たしか	[adjn..; n.] sure; certain; positive; definite // [n.] reliable; trustworthy; safe; sound; firm; accurate; correct; exact // [adv.] If I'm not mistaken; If I remember correctly; If I remember rightly
確かに	たしかに	[adv.] surely; certainly
必ず	かならず	[adv.] always; without exception; necessarily; certainly; without fail; positively; invariably
必ずしも	かならずしも	[adv.] not always; not necessarily; not all; not entirely
限る	かぎる	[v5ru.; vt.] to restrict; to limit; to confine // [v5ru.; vi.] to be restricted to; to be limited to; to be confined to
要は	ようは	[adv.] in short; the point is
に取って	にとって	[phrase; us. kana] to; for; concerning; as far as ... is concerned; regarding
結局	けっきょく	[advn.; n.] after all; eventually; in the end
無駄	むだ	[adjn..; n.] futility; uselessness; pointlessness
付く	づく	[v5ku.; vi.] to be attached; to be connected with; to adhere; to stick; to cling // [n.] to remain imprinted; to scar; to stain; to dye // [n.] to bear (fruit, interest, etc.) // [n.] to be acquired (of a habit, ability, etc.); to increase (of strength, etc.) // [n.] to take root // [n.] to accompany; to attend; to follow; to study with // [n.] to side with; to belong to // [n.] to possess; to haunt // [n.] to be lit; to be lighted // [n.] to be settled; to be resolved; to be decided // [n.] to be given (of a name, price, etc.) // [n.] to be sensed; to be perceived // [n.] to be lucky // [suffix; v5ku.] to become (a state, condition, etc.) // [suffix; v5ku.] to become (a state, condition, etc.)
直訳	ちょくやく	[n.; suru] literal translation; direct translation
意訳	いやく	[n.; suru] free translation; liberal translation
翻訳	ほんやく	[n.; suru] translation // [n.] de-encryption; deciphering // [n.] rendering
冠詞	かんし	[n.] article
概念	がいねん	[n.] general idea; concept; notion
主人	あるじ	[n.; no-n.] head (of a household); proprietor (of a store); proprietress; landlord; landlady // [n.] one's husband // [n.] (one's) employer; (one's) master // [n.] host; hostess // [n.; abbr.] head (of a household); proprietor (of a store); proprietress; landlord; landlady; master (of a servant) // [arch.] entertaining someone as one's guest
盗む	ぬすむ	[v5mu.; vt.] to steal
犯人	はんにん	[n.] offender; criminal
遅れる	おくれる	[v1.; vi.] to be late; to be delayed; to fall behind schedule; to be overdue
お待ち遠様	おまちどおさま,おまちどうさま	[phrase] I'm sorry to have kept you waiting
吃驚	きっきょう	[suru; adv.; us. kana; ono.] to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump // [n./prenv.; us. kana; ono.] surprise (e.g. surprise party) // [n.; suru] surprise
駄目	だめ,ダメ	[adjn..; n.; us. kana] no good; not serving its purpose; useless; broken // [us. kana] hopeless; wasted; in vain; purposeless // [us. kana] cannot; must not; not allowed // [n.] neutral point (in go); intersection owned by neither player at the end of a game
怠い	だるい,たるい	[adj.; us. kana] sluggish; languid; listless; heavy (heart, legs, etc.); dull // [us. kana; slang] bothersome; tiresome
富士山	ふじさん,ふじやま	[n.] Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
原宿		
北海道	ほっかいどう	[n.] Hokkaido (island, prefectural-level administrative unit)
本州	ほんしゅう	[n.] Honshu (largest of the four main islands of Japan)
如何	いかん	[adv.; us. kana] how; in what way; how about // [adv.; us. kana] how; in what way // [n.; us. kana] circumstances
行き成り	いきなり,ゆきなり	[adv.; no-n.; us. kana] abruptly; suddenly; all of a sudden; without warning
頂ける	いただける	[v1.; vi.; kenjougo; us. kana] to be able to receive; to be able to take; to be able to accept // [kenjougo; us. kana] to be able to eat; to be able to drink // [us. kana] to be acceptable; to be satisfactory
致す	いたす	[v5su.; vt.; kenjougo; us. kana] to do
塾	じゅく	[n.] coaching school; cramming school; juku
柔道	じゅうどう	[n.] judo
壁	かべ,へき	[n.] wall; partition // [n.] barrier; obstacle // [n.] Chinese "Wall" constellation (one of the 28 mansions)
畏まりました	かしこまりました	[phrase; us. kana] certainly!
可哀相	かわいそう	[adjn..; n.; us. kana] poor; pitiable; pathetic; pitiful
屹度	きっと,キッと	[adv.; us. kana; ono.] surely; undoubtedly; almost certainly; most likely (e.g. 90 percent) // [us. kana; ono.] sternly; severely // [us. kana; ono.] having no slack; rigid; stiff; tight // [us. kana; ono.; arch.] suddenly; abruptly; instantly
交換	こうかん	[n.; suru] exchange; interchange; switching; reciprocity; barter; substitution; replacement; clearing (of checks, cheques)
呉れる	くれる	[v1s.; vt.; auxv.; us. kana] to give; to let one have; to do for one; to be given
九州	きゅうしゅう	[n.] Kyushu (southernmost of the four main islands of Japan)
御存知	ごぞんじ	[n.; sonkeigo] knowing // [n.] (an) acquaintance
お陰様で	おかげさまで	[phrase; teineigo; us. kana] (I'm fine) thank you; thanks to you; fortunately; under the gods' shadow
沖縄	おきなわ	[n.] Okinawa (prefecture); region comprising most of Japan's southwestern archipelago (esp. Okinawa Island) // [n.] Okinawa (city)
御先	みさき,おんさき	[n.] going before; the future // [n.; arch.] leader of a nobleman's cavalcade // [n.] animal messenger of the gods (i.e. a fox)
お先に失礼します	おさきにしつれいします	[phrase] pardon me for leaving (first) (used when leaving a workplace while others remain)
理解	りかい	[n.; suru] understanding; comprehension; appreciation; sympathy
参加	さんか	[n.; suru; no-n.] participation
札幌	さっぽろ	[n.] Sapporo (city)
更に	さらに	[adv.; conj.; us. kana] furthermore; again; after all; more and more; moreover; even more
刺身	さしみ	[n.] sashimi (raw sliced fish, shellfish or crustaceans)
仕舞う	しまう	[v5u.; vt.; us. kana] to finish; to stop; to end; to put an end to; to bring to a close // [us. kana] to close (a business, etc.); to close down; to shut down; to shut up // [us. kana] to put away; to put back; to keep; to store // [auxv.; v5u.; us. kana] to finish ...; to do ... completely
信じられない！		
新鮮	しんせん	[adjn..] fresh
都庁	とちょう	[n.] Tokyo Government Office
所で	ところで	[conj.; us. kana] by the way; incidentally // [n.] even if; no matter (who, what, when, where, why, how)
兎に角	とにかく	[adv.; us. kana] anyhow; at any rate; anyway; somehow or other; generally speaking; in any case; at least
取りあえず	とりあえず	[adv.; us. kana] at once; first of all; for the time being; for now
積もり	つもり	[n.; us. kana] intention; plan // [us. kana] conviction; belief
野球	やきゅう	[n.] baseball
野球場	やきゅうじょう	[n.] baseball ground; baseball stadium
前夜	ぜんや	[advn.; tempn.] last night; the previous night // [n.] night before (Christmas, etc.); eve (of festival, major event, etc.)
予定	よてい	[n.; suru] plans; arrangement; schedule; program; programme; expectation; estimate
宜しく	よろしく	[phrase; adv.; us. kana] well; properly; suitably // [n.] best regards; please remember me; please treat me favorably (favourably); please take care of // [n.] just like ...; as though one were ... // [n.] by all means; of course
怪我	けが,ケガ	[n.; suru; us. kana] injury (to animate object); hurt
蹴る	ける	[v5ru.; vt.] to kick // [n.] to refuse; to reject
さっき		[advn.; n.] some time ago; just now
上る	のぼる	[v5ru.; vi.] to rise; to go up; to come up; to ascend; to be raised // [n.] to enter (esp. from outdoors); to come in; to go in // [n.] to enter (a school); to advance to the next grade // [n.] to get out (of water); to come ashore // [n.] to increase // [n.] to improve; to make progress // [n.] to be promoted; to advance // [n.] to be made (of profit, etc.) // [n.] to occur (esp. of a favourable result) // [n.] to be adequate (to cover expenses, etc.) // [n.] to be finished; to be done; to be over // [n.] (of rain) to stop; to lift // [n.] to stop (working properly); to cut out; to give out; to die // [n.] to win (in a card game, etc.) // [n.] to be arrested // [n.] to turn up (of evidence, etc.) // [n.] to be deep fried // [n.] to be spoken loudly // [n.] to get stage fright // [n.] to be offered (to the gods, etc.) // [kenjougo] to go; to visit // [sonkeigo] to eat; to drink // [n.] to be listed (as a candidate) // [n.] to serve (in one's master's home) // [n.] to go north // [suffix; v5ru.] indicates completion // [v5ru.; vi.] to ascend; to go up; to climb // [n.] to ascend (as a natural process, e.g. the sun); to rise // [n.] to go to (the capital) // [n.] to be promoted // [n.] to add up to // [n.] to advance (in price) // [n.] to swim up (a river); to sail up // [n.] to come up (on the agenda)
下りる	おりる	[v1.; vi.] to descend (e.g. a mountain); to go down; to come down // [n.] to alight (e.g. from bus); to get off; to disembark; to dismount // [n.] to step down; to retire; to give up; to quit // [n.] to be granted; to be issued; to be given // [n.] to form (of frost, dew, mist, etc.) // [n.] to be passed (from the body; e.g. of a roundworm)
儘	まま,まんま	[part.; us. kana] as it is; as one likes; because; as // [us. kana] condition; state
熱	ねつ	[n.] heat // [n.] fever; temperature // [n.] zeal; passion; enthusiasm // [n.] mania; craze; rage
似合う	にあう	[v5u.; vi.] to suit; to match; to become; to be like
貯金	ちょきん	[n.; suru] putting money aside; savings; deposit (e.g. in a bank) // [n.] accumulated surplus of wins; wins in the bank
丁寧	ていねい	[adjn..; n.] polite; courteous; civil // [n.] careful; close; thorough; conscientious
歯医者	はいしゃ	[n.] dentist
咳	せき,しわぶき	[n.] cough; coughing; tussis
怪我をする		
火傷	やけど,かしょう	[n.; suru; us. kana] burn; scald
火傷する		
骨折	こっせつ	[n.; suru] bone fracture
痒い	かゆい,かいい	[adj.; us. kana] itchy; itching
診察する		
入院する		
検札	けんさつ	[n.; suru] ticket check
手術	しゅじゅつ	[n.; suru; no-n.] (surgical) operation; procedure
手術する		
治る	なおる	[v5ru.; vi.] to be cured; to get well; to be healed // [n.] to get mended; to be repaired; to be fixed
病気が治る		
退院	たいいん	[n.; suru] leaving hospital; discharge from hospital
退院する		
薬局	やっきょく	[n.; no-n.] pharmacy; chemist (shop); drugstore
錠剤	じょうざい	[n.] pill; lozenge; tablet
粉	こな,こ	[n.] flour; meal; powder
粉薬	こなぐすり	[n.] powder medicine
塗る	ぬる	[v5ru.; vt.] to paint; to plaster; to lacquer; to varnish; to spread; to smear; to put up (wallpaper)
塗り薬	ぬりぐすり	[n.] medical cream; ointment; salve; liniment
光栄	こうえい	[n.; adjn..] honour; honor; glory; privilege
存じ	ぞんじ	[n.; kenjougo] knowing
存じる	ぞんじる	[v1.; kenjougo] to think, feel, consider, know, etc.
訂正	ていせい	[n.; suru; no-n.] correction; revision; amendment
嬉しい	うれしい	[adj.] happy; glad; pleasant
気を悪くする	きをわるくする	[phrase; vsuruirr.] to take offense (at); to take offence (at); to feel hurt (by)
誉める	ほめる	[v1.; vt.] to praise; to admire; to speak well of someone
情報	じょうほう	[n.] information; news; intelligence; advices // [n.] information; data contained in characters, signals, code, etc.
出会う	であう	[v5u.; vi.] to meet (by chance); to come across; to run across; to encounter; to happen upon // [n.] to meet (e.g. of rivers, highways, etc.) // [n.] to emerge and engage (an enemy)
文化	ぶんか	[n.] culture; civilization; civilisation // [n.] Bunka era (1804.2.11-1818.4.22)
人生	じんせい	[n.] (human) life (i.e. conception to death)
起こる	おこる	[v5ru.; vi.] to occur; to happen
購入	こうにゅう	[n.; suru] purchase; buy
購入する		
甘える	あまえる	[v1.; vi.] to behave like a spoiled child; to behave like a spoilt child; to fawn on // [n.] to take advantage of; to presume upon (e.g. another's benevolence); to depend on
ぐだぐだ	グダグダ,ぐだぐだ,クタクタ,くたくた,グタグタ,ぐたぐた	[adjn..; no-n.; ono.] exhausted; tired // [n.] withered; worn out // [n.] boiling until shapeless or mushy // [n.] tediously; repetitively; wordily
きちんと		[adv.; suru; ono.] precisely; accurately; neatly
伝わる	つたわる	[v5ru.; vi.] to be handed down; to be introduced; to be transmitted; to be circulated; to go along; to walk along
一般に	いっぱんに	[adv.] in general; generally
取り急ぎ	とりいそぎ	[adv.] in haste
部分	ぶぶん	[n.] portion; section; part
頂く	いただく	[v5ku.; vt.; kenjougo; us. kana] to receive; to get; to accept; to take; to buy // [kenjougo; teineigo; us. kana] to eat; to drink // [us. kana] to be crowned with; to wear (on one's head); to have (on top) // [us. kana] to have (as one's leader); to live under (a ruler); to install (a president) // [auxv.; v5ku.; kenjougo; us. kana] to get somebody to do something
消化	しょうか	[n.; suru; no-n.] digestion // [n.] thorough understanding // [n.] selling accumulated (excess) products; dealing with a large amount of work // [n.] losing one's form and turning into something else
消化する		
動画	どうが	[n.; no-n.; suru] video; movie; moving picture // [n.] animation; animated cartoon // [n.] in-betweens (animation)
改めて	あらためて	[adv.] another time; again; over again; once again; anew // [n.] formally; especially; intentionally; deliberately
返信	へんしん	[n.; suru] reply
件	くだり	[no-n.; us. kana] the aforementioned; the said; (man, incident, etc.) in question; the above-mentioned; the aforesaid // [n.] the usual // [n.; cnt.] matter; case; item; affair; subject // [n.; us. kana] passage; paragraph
母語	ぼご	[n.] mother tongue; native language // [n.] protolanguage; parent language
存在	そんざい	[n.; suru; no-n.] existence; being
心象	しんしょう	[n.] mental image; image
学習	がくしゅう	[n.; suru] study; learning; tutorial
遠慮	えんりょ	[n.; suru] reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness // [n.] declining; refraining // [n.] forethought; foresight
サボる	サボる,さぼる	[v5ru.; vi.] to be truant; to play hooky; to skip school; to skip out; to be idle; to sabotage by slowness
記録	きろく	[n.] record; minutes; document // [n.] a record (e.g. in sports); results; score // [suru] to record; to document // [n.] to set a record (e.g. in sports); to show a result; to reach a value
残す	のこす	[v5su.; vt.] to leave (behind, over); to bequeath; to save; to reserve
考察	こうさつ	[n.; suru] consideration; inquiry; enquiry; investigation; study
口語	こうご	[n.; no-n.] spoken language // [n.] literary style based on (modern) spoken language
堅い	かたい	[adj.] hard; solid; tough // [n.] stiff; tight; wooden; unpolished (e.g. writing) // [n.] strong; firm (not viscous or easily moved) // [n.] safe; steady; honest; steadfast // [n.] obstinate; stubborn // [n.] bookish; formal; stuffy
実感	じっかん	[n.] real feeling; actual feeling // [suru] to actually feel; to have a real feeling (that ...); to experience personally
思考	しこう	[n.; suru; no-n.] thought; consideration; thinking
入れ替わる	いれかわる	[v5ru.; vi.] to change places; to relieve one another; to replace someone
入れ替え	いれかえ	[n.; suru] replacement; substitution; change // [n.] shunting (rail); switching
入れ換える	いれかえる	[v1.; vt.] to replace; to substitute; to shift; to change places
のんびり		[adv.; to-adv.; suru; ono.] carefree; at leisure
不味い	まずい,マズイ,マズい	[adj.; us. kana] unappetising; unappetizing; unpleasant (taste, appearance, situation) // [n.] unskillful; unskilful; bungling; clumsy // [n.] ugly; homely; plain; unattractive // [n.] awkward; untimely; inopportune; unfavorable; unwise
顔写真	かおじゃしん,かおしゃしん	[n.] portrait photo; mug shot; face shot; photograph of a person's face
不躾	ぶしつけ	[adjn..; n.] ill-breeding; impoliteness; bad manners
斜視	しゃし	[n.; suru; no-n.] squint; strabismus; cross-eyed
髭	ひげ,ヒゲ	[n.; us. kana] moustache; beard; whiskers // [n.] extremely short pulse appearing on an electrical signal
本人	ほんにん	[n.; no-n.] the person himself
特に	とくに	[adv.] particularly; especially
当たり	あたり	[n.] hit // [n.] success // [n.] guess; prediction // [n.] affability; friendliness // [n.] sensation; touch // [n.] bruise (on fruit) // [n.] situation in which a stone or chain of stones may be captured on the next move (in the game of go) // [n.] bite (of a fish on a hook); strike // [suffix] per; each
それ故に	それゆえに	[adv.; us. kana] and so; therefore; for that reason
活用	かつよう	[n.; suru] practical use; application // [n.] conjugation; declension; inflection
話者	わしゃ	[n.] speaker; narrator
数	すう	[adv.; us. kana; ono.] often; again and again; frequently; repeatedly // [n.] number; amount // [pref.] several; a number of // [n.] number; numeral; figure // [n.] destiny; fate // [n.] law
大体	だいたい	[n.; us. kana] outline; main point; gist // [advn.; tempn.; us. kana] general; substantially; approximately; about // [us. kana] in the first place; to begin with; from the start
東京都	とうきょうと	[n.] Tokyo Metropolis; Tokyo metropolitan area
本名	ほんみょう,ほんめい	[n.] real name
値	ち	[n.; no-n.] price; cost // [n.] value; worth; merit // [n.] value; count; number // [n.] variable (computer programming, programing) // [suffix] level; value
純	じゅん	[adjn..; taru adj.; to-adv.] innocent; chaste; naive // [pref.] pure; genuine
通	つう	[adjn..; sufn.] connoisseur; authority // [cnt.] counter for letters, notes, documents, etc.
入力	にゅうりょく	[n.; suru] input; (data) entry
登場	とうじょう	[n.; suru] entry (on stage); appearance (on screen) // [n.] entrance; introduction (into a market)
人物	じんぶつ	[n.] person; character; figure; personage; man; woman // [n.] one's character; one's personality // [n.] able person; talented person
登場人物	とうじょうじんぶつ	[n.] character (in a play or novel); dramatis personae
夫婦	ふうふ,めおと,みょうと	[n.] married couple; spouses; husband and wife; couple; pair // [prefn.] his and hers; pair of objects, one larger (for man), one smaller (for woman)
勝手	かって	[adjn..; n.] one's own convenience; one's way // [n.] convenience or ease of use; knowledge of how to use // [n.] circumstances; situation (e.g. financial); environment // [n.] kitchen // [n.] arbitrary // [prefn.] unauthorised (e.g. phone app, WWW site); unofficial
略す	りゃくす	[v5su.; vt.] to abbreviate; to omit // [n.] to take; to capture
表情	ひょうじょう	[n.] facial expression; countenance // [n.] look; appearance; expression (vocal, etc.)
相手	あいて	[n.] companion; partner; company // [n.] other party; addressee // [n.] opponent (sports, etc.)
想像	そうぞう	[n.; suru; no-n.] imagination; guess
渋い	しぶい	[adj.] astringent; bitter; puckery; rough; harsh; tart // [n.] austere; elegant (and unobtrusive); refined; quiet (and simple); sober; sombre; subdued; tasteful (in a quiet way); understated // [n.] sour (look); glum; grim; sullen; sulky // [n.] stingy; tight-fisted
直面	ひためん	[n.] confrontation // [suru] to face; to confront; to encounter // [n.; n./prenv.] performing without a mask (noh)
